Input Amount,Price Impact,Input Token Address,Output Token Address,Output Amount,Exchange Rate,Asset
2700001.0,0.9125,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2676843.48,0.991423143917354,eUSD Mainnet
2750001.0,1.0224,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2723391.63,0.9903238689731384,eUSD Mainnet
2800001.0,1.0827,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2770503.2,0.9894650751910448,eUSD Mainnet
2850001.0,1.2598,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2814923.64,0.9876921587045058,eUSD Mainnet
2900001.0,1.4972,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2857416.51,0.9853156981670006,eUSD Mainnet
2950001.0,1.9117,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2895207.57,0.9814259622284872,eUSD Mainnet
3000001.0,2.2719,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2932696.71,0.9775652441449186,eUSD Mainnet
3050001.0,2.8833,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2962917.77,0.971448130672744,eUSD Mainnet
3100001.0,3.677,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2986873.71,0.9635073375782782,eUSD Mainnet
3150001.0,4.7355,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3002493.09,0.9531721069294898,eUSD Mainnet
3200001.0,5.8233,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3015322.06,0.9422878492850472,eUSD Mainnet
3250001.0,6.8926,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3026856.7,0.9313402365106964,eUSD Mainnet
3300001.0,8.1955,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3031226.46,0.91855319437782,eUSD Mainnet
3350001.0,9.4166,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3036224.33,0.9063353503476568,eUSD Mainnet
3400001.0,10.6363,0xa0d69e286b938e21cbf7e51d71f6a4c8918f482f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3040047.36,0.8941313134907901,eUSD Mainnet
